                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.9206,                 2.2531,                 1.0186,                0.72205,                0.64556,                0.70069,                0.38214,                 1.7762,                 1.6888,                0.98044,              0.0061225,              0.0061225,              0.0061225
                     49,                 1.8714,                 2.2012,                0.98191,                0.65437,                0.62018,                 0.6871,                0.37828,                  2.005,                 1.6175,                 1.0181,                0.00604,                0.00604,                0.00604
                     50,                 1.8902,                 2.0266,                 1.0162,                0.52596,                0.71831,                 0.6407,                0.33843,                 1.9194,                 1.5937,                0.99109,              0.0059575,              0.0059575,              0.0059575
                     51,                  1.936,                 2.1359,                0.98064,                0.70415,                0.65501,                0.64967,                0.34906,                 1.9937,                 1.6325,                 1.0149,               0.005875,               0.005875,               0.005875
                     52,                 1.9179,                 2.0866,                0.99807,                0.74574,                0.66903,                0.68389,                0.36426,                 2.0031,                 1.6496,                 1.0067,              0.0057925,              0.0057925,              0.0057925
                     53,                 1.7392,                  2.043,                0.98596,                0.74574,                0.66903,                0.68389,                0.36426,                 2.0031,                 1.6496,                 1.0067,                0.00571,                0.00571,                0.00571
                     54,                 1.7473,                 1.8764,                 1.0233,                0.66776,                0.68017,                0.67629,                0.32411,                 2.0726,                 1.7342,                 1.0328,              0.0056275,              0.0056275,              0.0056275
                     55,                 2.0038,                 1.9822,                  1.028,                0.66972,                0.61707,                0.62583,                0.30581,                 2.0028,                 1.6522,                0.98906,               0.005545,               0.005545,               0.005545
                     56,                 1.7708,                 2.0616,                 1.0236,                0.65484,                 0.6582,                0.69186,                0.31899,                 2.0619,                 1.6815,                 1.0312,              0.0054625,              0.0054625,              0.0054625
                     57,                 1.8363,                 2.0857,                 1.0142,                0.71763,                0.63387,                0.66686,                0.33577,                 1.7691,                 1.6318,                0.95456,                0.00538,                0.00538,                0.00538
                     58,                  1.839,                 2.0846,                 1.0233,                0.64753,                0.70675,                0.72454,                0.35163,                 1.8977,                 1.7083,                0.99344,              0.0052975,              0.0052975,              0.0052975
                     59,                 1.7631,                 1.9226,                 1.0009,                0.66237,                0.78537,                0.76807,                0.39675,                   1.76,                 1.5817,                0.97863,               0.005215,               0.005215,               0.005215
                     60,                 1.7637,                 2.0543,                 1.0063,                0.72018,                0.80848,                0.76844,                0.39112,                 1.9597,                 1.5549,                0.98795,              0.0051325,              0.0051325,              0.0051325
                     61,                 1.8391,                 1.9485,                0.97127,                0.72018,                0.80848,                0.76844,                0.39112,                 1.9597,                 1.5549,                0.98795,                0.00505,                0.00505,                0.00505
                     62,                  1.856,                 1.8656,                 1.0134,                0.73923,                0.77533,                0.76264,                0.42219,                 1.9152,                 1.5863,                 0.9646,              0.0049675,              0.0049675,              0.0049675
                     63,                 1.8868,                  1.941,                0.96666,                0.79253,                0.71766,                 0.7584,                0.43522,                 1.7537,                 1.5213,                0.94076,               0.004885,               0.004885,               0.004885
                     64,                 1.7312,                 1.9442,                0.99434,                  0.736,                0.67506,                0.74249,                0.38337,                 1.8216,                 1.5608,                0.95054,              0.0048025,              0.0048025,              0.0048025
                     65,                 1.9407,                 1.9504,                0.99924,                0.67166,                0.75821,                0.75899,                0.45442,                 1.6957,                 1.5473,                0.92824,                0.00472,                0.00472,                0.00472
                     66,                 1.7694,                  1.947,                      1,                0.65556,                0.78097,                0.75702,                0.43477,                 1.7274,                 1.4787,                0.94049,              0.0046375,              0.0046375,              0.0046375
                     67,                 1.6287,                 1.8572,                0.95113,                0.75596,                0.75108,                0.75986,                0.43901,                 1.7166,                 1.4291,                0.94048,               0.004555,               0.004555,               0.004555
                     68,                 1.5763,                 1.6979,                0.96923,                0.82326,                0.66604,                0.78993,                0.46298,                 1.6104,                 1.4193,                0.92928,              0.0044725,              0.0044725,              0.0044725
                     69,                 1.6288,                   1.74,                0.95435,                0.82326,                0.66604,                0.78993,                0.46298,                 1.6104,                 1.4193,                0.92928,                0.00439,                0.00439,                0.00439
                     70,                 1.7067,                 1.9463,                0.96757,                 0.6137,                0.85968,                0.77987,                0.44714,                 1.7028,                 1.3795,                0.94582,              0.0043075,              0.0043075,              0.0043075
                     71,                 1.7542,                 1.7393,                0.96051,                0.65813,                0.71037,                 0.7914,                0.43631,                 1.8694,                 1.4314,                0.96972,               0.004225,               0.004225,               0.004225
                     72,                 1.6581,                 1.8533,                0.99387,                0.68564,                0.69809,                0.78381,                0.44778,                 1.7634,                 1.4095,                0.94614,              0.0041425,              0.0041425,              0.0041425
