                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.8978,                 1.5228,                  1.011,                0.54461,                0.41113,                0.36655,                0.16752,                 1.9647,                 1.4061,                 1.0224,              0.0043075,              0.0043075,              0.0043075
                     71,                 1.8176,                 1.5366,                 1.0086,                0.58604,                0.43682,                0.41202,                0.20573,                 1.7315,                 1.3591,                0.97741,               0.004225,               0.004225,               0.004225
                     72,                 1.8644,                 1.5205,                 1.0031,                0.75723,                0.31754,                0.35473,                0.16576,                 1.8887,                 1.5697,                 1.0142,              0.0041425,              0.0041425,              0.0041425
                     73,                 1.7836,                 1.4615,                0.97912,                0.57763,                0.38492,                 0.3672,                0.16777,                 1.9092,                 1.3519,                 1.0133,                0.00406,                0.00406,                0.00406
                     74,                 2.0338,                 1.5739,                 1.0038,                0.60775,                0.38893,                0.38353,                0.20874,                 1.6214,                 1.3124,                0.95682,              0.0039775,              0.0039775,              0.0039775
                     75,                 1.7082,                 1.4569,                0.98401,                0.61562,                0.43261,                0.40929,                0.22274,                 1.5915,                  1.294,                 0.9502,               0.003895,               0.003895,               0.003895
                     76,                 1.7993,                 1.4586,                0.98886,                0.61206,                 0.4313,                0.43122,                0.23363,                 1.5601,                 1.2643,                0.94257,              0.0038125,              0.0038125,              0.0038125
                     77,                  1.719,                 1.4177,                0.96843,                 0.6494,                0.42161,                0.41307,                0.22572,                 1.5994,                 1.2296,                0.95218,                0.00373,                0.00373,                0.00373
                     78,                 1.8369,                 1.4466,                 1.0107,                0.60572,                0.42297,                0.38702,                0.19738,                 1.7052,                 1.3155,                0.96684,              0.0036475,              0.0036475,              0.0036475
                     79,                 1.7757,                 1.3999,                0.97102,                0.61885,                0.44164,                 0.4049,                0.21133,                 1.5915,                 1.2776,                0.94851,               0.003565,               0.003565,               0.003565
                     80,                 1.7091,                 1.3556,                0.97103,                0.57886,                0.45745,                 0.4364,                0.23339,                 1.5116,                 1.2511,                0.93852,              0.0034825,              0.0034825,              0.0034825
                     81,                 1.6987,                  1.398,                0.99836,                0.68481,                0.40762,                 0.4305,                 0.2448,                 1.4855,                 1.2029,                0.92484,                 0.0034,                 0.0034,                 0.0034
                     82,                 1.7642,                 1.4073,                0.99406,                0.57552,                0.47545,                0.42781,                0.23839,                 1.5115,                 1.2277,                0.93351,              0.0033175,              0.0033175,              0.0033175
                     83,                 1.7372,                 1.4609,                 0.9813,                0.65194,                0.39622,                0.40509,                0.21852,                 1.6523,                 1.2075,                0.95386,               0.003235,               0.003235,               0.003235
                     84,                  1.807,                 1.4486,                0.99726,                0.57171,                0.40323,                0.33986,                0.16729,                  1.878,                 1.4593,                 1.0083,              0.0031525,              0.0031525,              0.0031525
                     85,                 1.6857,                 1.4035,                0.95876,                0.60983,                 0.4568,                0.41852,                0.22837,                 1.5541,                 1.2031,                0.93198,                0.00307,                0.00307,                0.00307
                     86,                 1.6935,                 1.4062,                0.98647,                0.57721,                0.44775,                0.40894,                0.20633,                 1.6992,                 1.1986,                 0.9566,              0.0029875,              0.0029875,              0.0029875
                     87,                 1.5932,                 1.3032,                0.96957,                0.37161,                0.46667,                0.42807,                0.23658,                 1.5547,                  1.169,                0.93578,               0.002905,               0.002905,               0.002905
                     88,                  1.698,                    1.4,                 0.9365,                0.59705,                0.47001,                0.45482,                0.26721,                 1.4878,                 1.1592,                0.91427,              0.0028225,              0.0028225,              0.0028225
                     89,                 1.7219,                 1.3575,                0.96356,                0.61754,                0.42451,                0.44617,                0.26055,                 1.4809,                 1.1566,                0.91708,                0.00274,                0.00274,                0.00274
                     90,                 1.6213,                 1.3495,                0.95066,                0.63479,                0.42521,                0.45814,                0.25938,                 1.5095,                 1.1551,                0.92228,              0.0026575,              0.0026575,              0.0026575
                     91,                 1.6028,                 1.3391,                0.92917,                0.67945,                 0.4218,                 0.4501,                0.26074,                 1.5142,                 1.1753,                 0.9252,               0.002575,               0.002575,               0.002575
                     92,                 1.7368,                 1.3534,                0.99442,                0.39978,                0.42933,                0.44478,                0.24393,                 1.5599,                 1.1639,                0.93629,              0.0024925,              0.0024925,              0.0024925
                     93,                 1.6534,                 1.3819,                0.96947,                0.63507,                0.42278,                 0.4359,                0.24376,                 1.5613,                 1.1494,                0.93801,                0.00241,                0.00241,                0.00241
                     94,                 1.6319,                 1.3048,                0.94319,                0.31616,                0.49698,                0.44288,                0.24543,                 1.5171,                 1.1144,                0.92629,              0.0023275,              0.0023275,              0.0023275
                     95,                 1.6764,                 1.2835,                0.93874,                 0.5655,                0.40304,                0.46431,                0.26739,                 1.4651,                 1.1077,                 0.9127,               0.002245,               0.002245,               0.002245
                     96,                 1.6606,                 1.3695,                0.94325,                0.77416,                0.41442,                0.46213,                0.25877,                 1.4932,                 1.1445,                0.91897,              0.0021625,              0.0021625,              0.0021625
                     97,                 1.5816,                 1.2917,                0.93934,                0.77243,                0.41442,                0.45922,                0.25946,                 1.4464,                 1.1255,                0.91088,                0.00208,                0.00208,                0.00208
                     98,                 1.6384,                 1.3096,                0.96388,                0.77049,                0.41881,                0.46091,                0.26061,                 1.4123,                 1.1072,                0.90345,              0.0019975,              0.0019975,              0.0019975
                     99,                 1.6858,                 1.3611,                0.94659,                0.79039,                0.40455,                0.46262,                 0.2686,                 1.3982,                 1.0866,                0.90425,               0.001915,               0.001915,               0.001915
                    100,                 1.6405,                 1.3301,                0.94312,                0.74282,                0.42025,                0.46964,                0.26891,                  1.407,                 1.0829,                0.90349,              0.0018325,              0.0018325,              0.0018325
                    101,                 1.6352,                 1.3125,                0.95233,                0.64994,                0.41419,                0.45842,                0.25926,                  1.464,                 1.1421,                0.91686,                0.00175,                0.00175,                0.00175
                    102,                 1.6741,                 1.3168,                0.94492,                0.67182,                0.43727,                0.42687,                0.23866,                 1.5466,                  1.293,                0.93982,              0.0016675,              0.0016675,              0.0016675
                    103,                 1.6607,                 1.2774,                0.94044,                0.65762,                  0.467,                0.45913,                0.26598,                 1.4887,                 1.1758,                0.92192,               0.001585,               0.001585,               0.001585
                    104,                 1.6349,                 1.2727,                0.95978,                0.42119,                0.44482,                0.46544,                0.25886,                 1.5235,                 1.1623,                0.92347,              0.0015025,              0.0015025,              0.0015025
                    105,                 1.6515,                 1.3844,                0.93196,                0.44921,                0.41042,                 0.4734,                0.25913,                 1.5479,                 1.1116,                0.91974,                0.00142,                0.00142,                0.00142
                    106,                 1.6426,                 1.2311,                0.96821,                0.46883,                  0.417,                 0.4725,                0.26507,                 1.5028,                 1.1029,                0.91016,              0.0013375,              0.0013375,              0.0013375
                    107,                 1.5699,                 1.2671,                0.90902,                0.47124,                0.44249,                 0.4829,                0.29286,                 1.3859,                 1.0712,                0.89799,               0.001255,               0.001255,               0.001255
                    108,                 1.5079,                 1.2578,                0.92996,                0.69124,                0.42758,                0.48582,                0.29426,                 1.3822,                 1.0611,                0.89947,              0.0011725,              0.0011725,              0.0011725
                    109,                 1.5555,                 1.1898,                0.91834,                0.69361,                0.43757,                0.48161,                0.29135,                 1.3711,                 1.0948,                0.89448,                0.00109,                0.00109,                0.00109
                    110,                 1.5596,                 1.2961,                 0.9419,                0.65131,                0.48229,                0.56423,                0.29573,                 1.3716,                 1.1177,                0.89631,              0.0010075,              0.0010075,              0.0010075
                    111,                  1.534,                 1.2546,                0.90595,                0.65244,                0.45868,                0.48594,                0.28684,                 1.3693,                 1.1098,                0.89482,               0.000925,               0.000925,               0.000925
                    112,                 1.5061,                 1.2566,                0.95547,                 0.7714,                0.41288,                0.48158,                0.29543,                 1.3554,                 1.0733,                0.89277,              0.0008425,              0.0008425,              0.0008425
                    113,                 1.5528,                 1.2239,                 0.9297,                0.75996,                0.41277,                0.48177,                0.29507,                 1.3637,                 1.0478,                0.89696,                0.00076,                0.00076,                0.00076
                    114,                 1.5801,                 1.2916,                0.96872,                0.67468,                 0.4392,                0.47887,                0.28602,                 1.4291,                 1.0656,                0.90711,              0.0006775,              0.0006775,              0.0006775
                    115,                 1.5724,                 1.2891,                0.93204,                0.63915,                0.44222,                0.47557,                0.28324,                 1.4506,                 1.0453,                0.90719,               0.000595,               0.000595,               0.000595
                    116,                 1.6351,                  1.285,                0.92507,                0.79406,                0.42758,                0.47322,                0.28472,                 1.4386,                 1.0403,                0.90444,              0.0005125,              0.0005125,              0.0005125
                    117,                 1.5913,                 1.2622,                 0.9173,                0.65031,                0.45258,                0.47504,                0.29069,                 1.3917,                 1.0212,                  0.897,                0.00043,                0.00043,                0.00043
                    118,                 1.5441,                 1.2473,                0.91992,                0.66168,                0.46053,                 0.4724,                0.29142,                 1.4039,                  1.024,                0.89859,              0.0003475,              0.0003475,              0.0003475
                    119,                 1.5302,                 1.1752,                0.95442,                0.67695,                0.44588,                0.47372,                0.29046,                 1.3939,                 1.0219,                  0.896,               0.000265,               0.000265,               0.000265
